Student Age,Gender,High School Type,Scholarship,Additional Work,Artistic or Sports Activity,Marital Status,Salary,Transportation,Accommodation,Mother's Education,Father's Education,No. of Siblings,Parental Status,Mother's Occupation,Father's Occupation,Weekly Study Hours,Reading Frequency (Non - Scientific),Reading Frequency (Scientific),Attendance to Seminars/Conferences,Impact of Projects/Activities,Attendance to Classes,How do you prepare for exam?,When do you prepare for exam?,Taking Notes,Listening,Improvement due to Discussion,Flip-Classroom,Cumulative GPA Last Semester,Expected GPA This Semester,Course ID,Grade
22-25,Male,Other,50%,Yes,No,No,USD 135-200,Bus,Rental,Primary School,Secondary School,3,Married,Housewife,Other,6-10 Hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Always,Sometimes,Never,Useful,<2.00,<2.00,1,DD
22-25,Male,Other,50%,Yes,No,No,USD 135-200,Bus,Rental,Secondary School,High School,2,Married,Housewife,Retired,<5 Hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Always,Sometimes,Always,Useful,2.00-2.49,2.50-2.99,1,DD
22-25,Male,State,50%,No,No,No,USD 201-270,Other,Dormitory,Secondary School,Secondary School,2,Married,Housewife,Retired,<5 Hours,None,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Sometimes,Sometimes,Never,Not Useful,2.00-2.49,2.00-2.49,1,DD
18-21,Female,Private,50%,Yes,No,Yes,USD 201-270,Bus,Dormitory,Primary School,Secondary School,5 or above,Married,Housewife,Retired,6-10 Hours,None,Sometimes,Yes,Positive,Always,Alone,Regularly During the Semester,Always,Sometimes,Sometimes,Not Useful,2.50-2.99,2.00-2.49,1,DD
22-25,Male,Private,50%,No,No,Yes,USD 271-340,Bus,Other,High School,High School,2,Married,Housewife,Self Employed,<5 Hours,None,None,Yes,Positive,Always,With Friends,Closest Date to the Exam,Sometimes,Sometimes,Sometimes,Not Useful,2.00-2.49,2.00-2.49,1,DD
22-25,Male,State,50%,No,No,No,USD 201-270,Bus,Rental,High School,High School,2,Married,Housewife,Private Sector Officer,None,None,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Never,Sometimes,Never,Useful,3.00-3.49,3.00-3.49,1,DC
18-21,Male,State,75%,No,No,No,USD 135-200,Bus,With Family,Primary School,High School,1,Married,Housewife,Self Employed,<5 Hours,Sometimes,Sometimes,No,Positive,Sometimes,Alone,Closest Date to the Exam,Always,Always,Always,Not Applicable,3.00-3.49,3.00-3.49,1,BB
18-21,Female,State,50%,Yes,Yes,Yes,USD 201-270,Private Car/Taxi,With Family,University,High School,1,Married,Private Sector Officer,Private Sector Officer,None,Sometimes,Sometimes,Yes,Positive,Always,Not Applicable,Closest Date to the Exam,Always,Sometimes,Sometimes,Not Useful,<2.00,<2.00,1,DC
22-25,Female,Other,50%,No,Yes,Yes,USD 135-200,Bus,With Family,Secondary School,University,2,Married,Housewife,Self Employed,None,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Always,Sometimes,Sometimes,Useful,3.00-3.49,2.50-2.99,1,BB
22-25,Female,State,50%,No,No,Yes,USD 271-340,Other,Dormitory,Primary School,Secondary School,3,Married,Housewife,Private Sector Officer,<5 Hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest Date to the Exam,Sometimes,Sometimes,Sometimes,Useful,<2.00,2.00-2.49,1,Fail
18-21,Female,Private,50%,No,No,No,USD 271-340,Private Car/Taxi,With Family,High School,University,2,Married,Govt. Officer,Govt. Officer,None,None,None,Yes,Positive,Sometimes,Alone,Closest Date to the Exam,Sometimes,Sometimes,Sometimes,Useful,<2.00,<2.00,1,DC
18-21,Female,Private,75%,Yes,Yes,No,USD 341-410,Private Car/Taxi,With Family,M.Sc.,M.Sc.,1,Married,Govt. Officer,Govt. Officer,6-10 Hours,Often,Often,Yes,Neutral,Always,Not Applicable,Regularly During the Semester,Always,Never,Always,Not Applicable,3.00-3.49,2.50-2.99,1,Fail
18-21,Female,Private,75%,No,No,No,USD 135-200,Bus,Rental,High School,M.Sc.,4,Divorced,Housewife,Govt. Officer,6-10 Hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Sometimes,Sometimes,Sometimes,Not Applicable,3.00-3.49,2.00-2.49,1,Fail
22-25,Female,State,Full,No,No,No,USD 135-200,Bus,Rental,Secondary School,Secondary School,2,Married,Housewife,Private Sector Officer,None,Sometimes,None,Yes,Positive,Sometimes,Alone,Closest Date to the Exam,Always,Sometimes,Always,Not Applicable,3.00-3.49,2.00-2.49,1,DD
above 26,Male,State,75%,Yes,Yes,No,USD 271-340,Other,Dormitory,High School,Primary School,2,Married,Private Sector Officer,Retired,<5 Hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Sometimes,Always,Sometimes,Not Useful,3.00-3.49,3.00-3.49,1,DC
22-25,Male,State,50%,No,No,No,USD 135-200,Bus,Dormitory,University,University,2,Married,Govt. Officer,Retired,<5 Hours,Sometimes,Sometimes,No,Neutral,Sometimes,Alone,Closest Date to the Exam,Always,Sometimes,Sometimes,Not Applicable,2.00-2.49,2.00-2.49,1,DC
18-21,Female,State,Full,No,Yes,No,USD 135-200,Bus,Rental,Secondary School,Secondary School,4,Married,Housewife,Private Sector Officer,<5 Hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest Date to the Exam,Always,Sometimes,Always,Not Applicable,3.00-3.49,2.50-2.99,1,DD
22-25,Male,State,50%,No,No,No,USD 135-200,Bus,Rental,Secondary School,Secondary School,2,Married,Housewife,Retired,<5 Hours,Sometimes,Sometimes,No,Positive,Sometimes,Alone,Closest Date to the Exam,Sometimes,Sometimes,Sometimes,Useful,2.00-2.49,2.00-2.49,1,DC
18-21,Female,State,75%,No,No,No,USD 271-340,Bus,Rental,Secondary School,Secondary School,5 or above,Married,Housewife,Other,More than 20 Hours,Often,Sometimes,No,Positive,Sometimes,Alone,Closest Date to the Exam,Always,Never,Always,Not Applicable,2.50-2.99,2.50-2.99,1,DC
18-21,Male,Private,50%,No,No,Yes,USD 201-270,Private Car/Taxi,Dormitory,High School,High School,3,Married,Housewife,Self Employed,11-20 Hours,Sometimes,Sometimes,Yes,Negative,Always,Alone,Closest Date to the Exam,Always,Sometimes,Sometimes,Not Applicable,2.00-2.49,2.50-2.99,1,CC
18-21,Male,State,Full,Yes,No,Yes,USD 135-200,Other,Dormitory,High School,High School,3,Divorced,Housewife,Private Sector Officer,11-20 Hours,Sometimes,Sometimes,No,Positive,Always,Alone,Regularly During the Semester,Always,Never,Sometimes,Not Applicable,3.00-3.49,3.00-3.49,1,DD
18-21,Male,State,Full,No,No,Yes,USD 135-200,Other,Dormitory,Secondary School,Secondary School,4,Married,Housewife,Private Sector Officer,6-10 Hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Always,Never,Always,Not Applicable,2.50-2.99,2.50-2.99,1,DD
22-25,Male,State,50%,Yes,No,Yes,USD 135-200,Bus,Rental,Primary School,Primary School,4,Divorced,Housewife,Self Employed,6-10 Hours,Often,Often,Yes,Positive,Always,Alone,Regularly During the Semester,Always,Never,Sometimes,Not Applicable,2.50-2.99,2.50-2.99,1,CC
above 26,Male,State,25%,Yes,Yes,No,USD above 410,Bus,Rental,Primary School,University,3,Married,Housewife,Retired,6-10 Hours,Sometimes,Often,Yes,Positive,Sometimes,Alone,Closest Date to the Exam,Always,Sometimes,Always,Not Applicable,2.50-2.99,2.50-2.99,1,DD
22-25,Male,State,50%,No,No,No,USD 201-270,Bus,Rental,High School,Primary School,3,Married,Housewife,Self Employed,None,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Sometimes,Never,Always,Useful,3.00-3.49,3.00-3.49,1,DC
22-25,Male,State,50%,No,No,Yes,USD 135-200,Bus,Dormitory,Primary School,University,3,Married,Housewife,Self Employed,<5 Hours,Sometimes,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Sometimes,Never,Always,Useful,<2.00,2.00-2.49,1,CC
22-25,Male,State,50%,No,Yes,Yes,USD 135-200,Bus,Rental,University,University,4,Married,Housewife,Self Employed,<5 Hours,Often,Sometimes,Yes,Positive,Always,Alone,Closest Date to the Exam,Always,Always,Always,Useful,2.00-2.49,<2.00,1,DD
18-21,Male,Private,50%,Yes,No,No,USD 135-200,Bus,Rental,Primary School,Primary School,4,Married,Housewife,Private Sector Officer,6-10 Hours,Sometimes,Sometimes,Yes,Positive,Sometimes,Alone,Closest Date to the Exam,Always,Never,Sometimes,Not Useful,2.00-2.49,<2.00,1,DD
